GR,etiqueta,Pozo
75.7635 77.6715 78.00264999999999 78.91416666666667 79.00843333333333 79.1027 79.3634 79.7001 80.0425 81.4886 82.9857 84.925 86.8811 89.8003 92.6493 93.5985 94.4977 94.8059 95.1191 95.4242 95.6688 96.1081 97.7225 98.6928 96.4881 94.124 91.1036 89.6408 88.178 85.585 83.2595 81.7428 80.4711 79.8449 79.1814 78.4312 78.3449 79.6169 80.419 80.3667 79.9114 78.8026 77.719 76.6719 75.3768 73.759 73.0855 72.412 71.3815 70.3381 69.2813 69.0053 69.6348 70.6654 71.2961 71.6223 72.2916 73.1952 72.3146 70.3446 69.1537 68.387 69.1265 70.5944 71.5456 72.2762 72.7602 73.1517 68.9576 68.6242 68.8851 68.2693 67.4441 67.266 67.217 67.0306 66.8219 65.838 64.7553 64.584 64.4992 64.0005 63.4753 64.0254 64.6125 63.9425 63.2828 63.547 63.7376 62.4166 61.1998 61.3041 61.1425 58.5788 56.2125 55.2112 54.0896 52.3022 50.7713 50.4125 50.2998 51.1347 51.8269 52.0488 52.3443 52.8499 53.0766 52.607 52.0466 51.2866 51.1792 52.3435 53.5973 55.0065 56.3847 57.7629 64.9428 67.2792 71.715 77.8016 81.87209999999999 85.9426 94.8137 104.5009 112.3239 118.273 121.3489 121.8284 118.6194 112.4156 106.4025 103.46549999999999 100.5285 94.5399 88.4764 82.2755 80.0522 80.1565 80.2214 80.2704 80.9766 81.9159 83.5884 85.4866 85.0699 42.53495 85.819 88.2195 88.9233 89.3148 91.6893 94.3571 93.1307 91.4606 90.8821 90.3931 87.9716 85.4503 85.83015 87.0411 86.8941 86.7147 86.6765 86.6016 86.4336 85.2496 84.3517 85.7575 86.35839999999999 86.9593 86.8777 86.9233 87.6181 87.9032 86.4454 84.9925 83.5573 82.8362 84.3332 85.7932 87.1533 88.8203 88.7018 87.1885 85.7939 84.6196 83.9857 84.2466 84.7837 85.7296 86.2789 86.3016 86.3244 86.3473 86.9355 88.1291 88.9025 89.2712 89.346 89.1667 88.1962 86.611 86.8539 88.3706 89.9495 91.5672 92.3593 92.692 91.1324 88.6372 86.7752 83.3552 81.4244 80.5366 79.9984 80.7504 81.8757 84.0239 86.4242 88.2138 89.8773 88.7257 87.0981 88.3989 90.0919 89.6245 88.9396 88.5047 88.0872 86.7443 85.3646 84.5278 83.715 84.2433 84.6455 82.1407 79.8933 81.1653 82.4251 83.5669 84.7269 86.0185 87.1638 87.467 88.2866 91.5482 94.77115 95.2114 96.0936 96.9807 96.4499 91.7564 87.8958 86.1846 84.6134 83.9876 82.023 80.5073 79.7385 80.3253 80.3909 79.7985 81.412 82.5533 83.0715 82.31 80.0251 78.0402 76.3778 75.3733 75.0084 74.8047 74.7429 74.8519 75.0964 74.7725 74.0422 75.2812 77.7879 80.3482 82.9396 84.4076 85.2944 85.1392 84.5033 82.7689 80.5851 78.988 77.6026 75.7093 73.6559 72.8469 72.3775 71.5354 70.6063 71.8035 73.417 75.4629 77.5783 79.0838,0,BONA0050
80.5116 80.8153 81.0109 79.6945 78.2772 78.214 78.204 78.4517 78.7382 82.2572 85.8559 91.623 97.4454 104.1345 110.3249 111.1133 111.448 108.0758 104.3931 98.6943 93.2001 88.7949 85.006 83.9765 83.9255 83.8745 87.325 91.0629 95.7548 99.5789 100.882 101.3396 99.6292 97.9037 96.1442 94.7584 94.1329 93.6597 93.4639 94.0972 96.0915 97.3253 97.6408 97.983 96.5916 93.0987 91.7362 92.7134 92.5431 91.2303 91.6006 93.4901 94.2597 94.1134 94.7998 96.1028 96.801 97.0945 96.9306 96.4906 96.775 97.4529 96.6885 95.2222 94.3215 93.6668 91.9044 89.7148 88.7214 88.135,1,BONA0050
87.0363 85.7851 86.3578 87.4003 88.9504 90.6122 92.8952 95.2931 94.7083 91.9147 90.0705 87.0006 83.8208 84.4193 84.83465000000001 85.25 84.5564 83.8102 85.5089 87.2153 88.0462 89.0202 93.4156 97.7694 101.5227 104.7539 100.4583 97.5388 94.6108 91.6297,2,BONA0050
89.2972 90.3039 90.6537 88.1515 85.2581 80.9083 76.9087 74.0415 72.3039 73.7702 75.1844 76.4682 77.4513 77.7641 77.613 76.5376 76.5096 78.3539 80.4103 82.8083 84.6869 85.8111 85.8789 84.5591 83.6278 83.1587 85.3143 90.2994 96.2947 106.9511 107.6939 101.1099 95.7055 89.6061 87.2188 87.2678 86.2585 84.623 83.2234 81.9495 80.5431 79.0736 79.7693 81.3853 83.1694 85.017 83.9754 81.9747 81.9698 82.5434,3,BONA0050
83.8255 85.285 88.6086 92.3297 93.6003 94.4344 94.4946 94.4424 96.2156 98.1965 103.1584 108.3714 113.254 110.8407 108.2861 103.1362 98.03 95.5601 93.2286 93.8444 94.638 97.8177 101.0904 105.2612 109.6305 115.4788 121.8245 131.1562 140.8367 152.2532 162.4198 167.3203 169.018 159.1131 147.893 132.5273 118.1264 106.397 96.8131 92.4862 88.9746 87.2413 86.3073 86.9328 87.2363 86.9757 86.1691 84.5008 83.3646 82.9868 82.979 83.448 84.0854 84.9195 85.3076 85.2235 86.167 88.096 90.1923 92.4339,4,BONA0050
94.0883 95.28 95.462 94.9243 93.7939 92.2822 90.7704 89.2585 89.608 90.9276 94.9999 100.3563 103.0338 104.5979 104.4091 103.575 100.8212 97.4457 96.3698 95.943 95.3563 94.7308 93.241 91.5727 91.2865 91.2376 92.0554 92.9938 93.006 92.9181 93.0144 93.1252 91.5929 89.9767 90.6055 91.2894 90.6113 89.923 88.8284 87.7275 86.5055 85.4375 86.2979 87.2326 88.8486 90.3802 91.309 91.7357 89.2594 88.05485,5,BONA0050
86.8503 84.7652 83.2336 83.9664 84.7793 85.8743 87.1354 88.9077 90.0828 89.6432 89.64 90.6823 91.1656 90.4555 90.0888 90.3786 90.5426 90.4907 90.1522 89.03354999999999 88.6969 88.1759 87.7122 87.3211 87.4911 88.3056 88.9765 89.4977 89.2738 88.3454 87.2433 85.9923 84.0176 81.48 79.9209 79.051 79.6679 81.2316 84.1609 87.8746 91.3737 94.7618 96.5464 97.0677 97.589 97.4784 96.892 96.9638 97.2764 101.7732 107.6175 110.3518 112.2121 111.9879 111.2584 103.6519 94.6279 88.9008 86.3206 83.7404 81.1789 78.9798 80.1741 81.7379 83.6426 86.2245 86.8076 86.2827 85.7283 87.0733 88.8462 89.5792 90.2523 90.148 89.8793 88.0582 86.309 85.0873 83.9591 83.3859 82.4893 79.9971 77.935 77.6743 77.0702 75.2263 73.7235 73.2933 72.7742 72.0087 71.5309 71.7589 72.0197 72.3521 72.2912 71.4604 71.2708 72.2091 72.6523 72.3101 74.0709 78.8467 82.7594 85.5513 89.316 94.2254 98.3504 101.6376 105.7817 110.7562 121.1348 128.8147 131.4818 133.5928 133.3926 131.6821 126.8568 120.1949 112.9987 105.5189 100.0942 92.2661 89.3372 89.3295 90.4241 91.6481 92.9152 95.583 98.6585 98.5278 97.5893 96.0989 94.4898 92.6982 90.8738 90.594 90.542 91.4993 92.5742 93.8441,6,BONA0050
